flag_labelx,FMD1,FMD2,FMN1,FMN2,FR1,FR2,MAV1,MAV2,MFMD1,MFMD2,MFMN1,MFMN2,MMAV11,MMAV12,MMAV21,MMAV22,SSI1,SSI2,WAMP1,WAMP2,WL1,WL2,ZC1,ZC2
0,530399.384205608,650333.150783991,0.934283025682901,0.934196658517651,0.000310192940008685,0.00173640284546016,161.19,178.53,253.926195979087,282.255633663922,364.05580040979,364.663537864569,120.89,134.14,80.186,89.434,259892.97,318770.11,0,0,25.4,17.1,0,0
0,563712.152029623,639830.565604228,0.934298415292099,0.934248257232498,0.00426964940766133,0.00050764284505611,166.29,177.29,264.172885429841,281.954309441909,365.473562532681,365.656047510278,124.425,132.775,82.332,88.372,276608.65,314370.71,0,0,28.8,20.9,0,0
0,561264.680047151,616551.740266035,0.934275259021628,0.934242798441423,0.00150774983414752,0.00138010350776307,165.81,173.9,261.029895116145,274.912329616213,363.942773756522,364.649253582992,124.555,130.65,83.388,87.924,274986.75,302469.14,0,0,26.4,23.3,0,0
0,570990.068491123,617349.671000457,0.934285791481726,0.93423841139972,0.00292764533667927,0.00178253119429598,167.37,173.91,265.766969560038,275.492228377816,365.396738075142,364.99464634722,125.195,130.465,82.86,86.844,280201.31,302495.87,0,0,26.9000000000001,20,0,0
0,556365.944657786,617752.557945466,0.934299656311651,0.934257059161182,0.00357510755620196,0.00155199172271084,165.03,173.97,260.644986520601,274.910116201488,364.49064586226,364.57999445657,123.98,130.725,83.498,87.204,272419.89,302715.09,0,0,29.9,26.8,0,0
0,528135.054999251,579945.922271942,0.934294206270385,0.934274976163472,0.000868163214684417,0.00159886303073373,161.26,168.87,257.822888697444,269.252915516489,366.541832067011,366.08537646862,120.285,126.605,78.738,85.092,260195.74,285263.63,0,0,26.2,24.6,0,0
0,550958.490652453,562110.937295849,0.934303819927699,0.934318427321099,0.00322678843226779,0.000421813799337109,164.25,165.95,258.4804625615,262.870148848616,363.881454588034,364.986590551146,123.39,124.775,82.438,83.844,269861.09,275483.13,0,0,28.1,31.7,0,0
0,411866.622516143,581470.052254256,0.934502464167024,0.93432519269886,0.00329016450822544,0.00266729891529851,142.85,168.71,231.423736504295,266.73629639753,368.729071433749,364.667373953424,106.9,126.57,73.542,83.794,204668.19,284747.97,0,0,36.8,26.2,0,0
0,418346.551654797,584757.726524035,0.934346783090927,0.934250220286508,0.00104858441104509,0.00106357835027178,143.05,169.24,224.608148456063,267.676200426444,363.496811689379,364.731617548488,107.365,127.26,70.68,85.688,204871.85,286499.3,0,0,25.3,24.8,0,0
0,481135.267646824,570083.216357781,0.934415329475883,0.934254253654852,0.00325605626465233,0.00251256281407031,153.56,167.16,243.903621731714,264.506952753067,365.441880789113,364.808462678556,114.81,125.42,75.42,83.744,235966.62,279483.74,0,0,36.8,21.6,0,0
0,512024.73806319,583864.365071025,0.934313014172031,0.934418971214708,0.000505241884552272,0.00118259224219489,158.34,169.12,249.020418512787,267.360021199533,363.772940445985,364.65191842198,118.865,127.085,79.178,84.726,250797.6,286192.18,0,0,29.2,36.3,0,0
0,564856.222837255,588030.61989741,0.934268317996133,0.934236129055304,0.0012012012012012,0.0021776234477077,166.5,169.91,264.2613363573,269.841493256598,365.317835447679,365.422413531805,124.47,127.2,82.324,84.522,277288.94,288754.57,0,0,27.7,20.6000000000001,0,0
0,529097.805178028,600869.707159768,0.934270864602162,0.934356620025501,0.00540540540540543,5.82580833090724e-05,160.95,171.65,253.46929062021,271.972117294839,364.00315572097,365.031767023462,121.085,128.955,81.652,86.1,259135.63,294778.13,0,0,25.2,31.1000000000001,0,0
0,529235.111330532,653846.56759563,0.934387510572595,0.93438870071955,0.00142741885434119,0.00206854139878126,161.13,178.87,255.762032850514,282.544716956662,365.333417469693,364.515217813647,120.395,134.065,79.844,88.264,259730.27,320180.57,0,0,37.2,32.5,0,0
0,529702.475126087,655587.657596368,0.934288308850772,0.934315623152589,0.000434324005708287,0.00122644664957071,161.17,179.38,254.364316433533,284.488706545349,364.368333567349,365.190747824261,120.785,134.7,80.06,90.204,259830.83,321880.56,0,0,25.9,29.8999999999999,0,0
0,598565.494432027,647600.937168577,0.934331145627373,0.934303924619558,0.00152064568955421,0.0053914410872739,170.98,178.06,269.601073510279,281.933177603878,364.21432326037,364.915174568845,128.21,133.58,85.164,88.932,292411,317154.02,0,0,27.1,29.4,0,0
0,567933.026003056,628693.70341286,0.934288885931052,0.934324005157009,0.00449829064955317,0.00313408171405785,166.73,175.49,262.665431383223,277.349816489065,364.063501748737,364.602977114841,125.265,132.01,84.22,88.778,278052.31,308067.59,0,0,27.5,33,0,0
0,578614.804086924,620811.592346065,0.934337565438521,0.934236634743284,0.00136685089439588,0.000801649106733709,168.27,174.64,265.682811644375,277.697030266787,364.440209528009,365.630183530378,125.985,130.85,83.46,87.1,283213.65,305033.28,0,0,34.4,22.2,0,0
0,561636.001969135,628056.857286795,0.934306360779011,0.934274625592918,0.00114685821210839,0.00205502911291238,165.67,175.18,259.497291620153,275.069630995964,363.086212868838,363.504819376618,124.58,131.845,82.886,88.166,274615.81,306984.82,0,0,29.6999999999999,28.8,0,0
0,583187.907048013,628947.140329529,0.93433191324969,0.934239946535227,0.0010051439720925,0.000341374601729644,169.13,175.76,268.315917248983,278.925306983925,365.242920376276,365.297905353919,126.44,131.725,84.218,88.386,286155.27,308995.06,0,0,34.5,21.1,0,0
0,549269.733626425,607495.419396873,0.934310763619511,0.934347096149802,0.00561454900524834,0.00406173842404549,163.86,172.34,257.457010753478,271.763557858854,363.611794688421,364.225548259361,123.405,129.755,83.13,87.37,268602.1,297096.98,0,0,28.5,32.5,0,0
0,521933.212694852,563611.232233886,0.934283283172545,0.934247369212155,0.000249906285142986,0.000240384615384602,160.06,166.4,254.551189129944,264.701730405918,365.655206145808,365.698111359955,119.695,124.715,80.022,83.662,256314.8,276969.94,0,0,27.6,22.9,0,0
0,506888.670822686,551890.739670581,0.934284144209752,0.934278705612501,0.00177822939159149,0.00279601264283979,157.46,164.52,247.450701758955,260.517131691538,363.645662072511,364.929820999465,118.255,123.53,78.65,82.496,248010.48,270718.7,0,0,24.5,26,0,0
0,537484.537858878,553866.026523755,0.934312423054682,0.934294137732967,0.00110892065056675,0.000849102377486574,162.32,164.88,257.52129685745,262.13473534424,365.248853092098,365.602796049671,121.405,123.48,80.482,82.484,263555.22,271932.32,0,0,28.3,29.1,0,0
0,537833.835566159,544120.48128308,0.934331646100671,0.934256321080338,0.00407055630936222,0.00128605548410804,162.14,163.29,254.549038611389,257.726529883821,363.474772604914,364.379054471825,121.885,122.68,81.726,82.09,262988.2,266683.69,0,0,31.8,24.7000000000001,0,0
0,536023.209709752,548612.334584688,0.934365749443868,0.934303528946149,0.00234163174759672,0.00115719593154278,162.28,164.19,258.404798381506,260.872661517362,365.864822927515,365.496658745314,121.28,122.98,80.432,81.854,263485.58,269651.05,0,0,30,26.7,0,0
0,599118.499148782,605691.074855553,0.934524843979697,0.934465578866154,5.85103270726086e-05,0.000348918353105387,170.91,171.96,266.992526973897,270.281417473653,362.631926381761,363.673130909428,128.515,129.37,85.372,86.216,292378.29,295918.32,0,0,47.5,41.8,0,0
0,657796.462240889,657691.807609154,0.934430502758957,0.934390242515815,0.000556792873051225,0.00155971479500889,179.6,179.52,286.112701606599,285.196862245406,365.940089117332,365.477349143693,134.06,134.265,87.624,87.638,322837.58,322652.18,0,0,32.3,34.0000000000001,0,0
0,587995.240814594,615932.88925887,0.934858575466047,0.934968641878391,0.0146738169603394,0.00908568142610706,169.69,173.9,271.076109083411,279.005931892647,366.403585006663,367.12420287235,127.23,130.12,87.51,88.304,288832.31,303083.28,0,0,53.6000000000001,53.7,0,0
0,530669.152541505,584790.943929047,0.934304680104891,0.934224105310806,0.000619501920456024,0.000295211666765003,161.42,169.37,256.782266844538,268.224377283532,365.699742967866,364.946948058626,120.59,126.925,79.92,84.432,260654.7,286896.85,0,0,27.4,20.3,0,0
0,517847.811408979,572692.078526101,0.934282164952712,0.934296733104397,0.00402111083186729,0.00119345984007638,159.16,167.58,250.549463173013,265.592119857904,363.934979295119,365.075329203132,119.635,125.81,80.622,84.24,253387.1,280903.9,0,0,26.1000000000001,26.6,0,0
