flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2964.39,293.158,86.359,2634.845,0.123,0.086,0.164,1.766,0,0.287,0,10.537,0,0,0.02,0,2964.39,293.158,86.359,2634.845,0.413,0.287,0.556,20.042,0,0.708,0,35.605,0.003,0,0.069,0
0,2963.266,358.975,99.257,2614.23,0.134,0.092,0.181,2.169,0,0.343,0,11.639,0,0,0.023,0,2963.266,358.975,99.257,2614.23,0.312,0.217,0.421,11.439,0,0.408,0,27,0,0,0.052,0
0,2966.443,499.482,112.2,2645.892,0.159,0.111,0.215,3.014,0,0.379,0,13.774,0,0,0.027,0,2966.443,499.482,112.2,2645.892,0.27,0.19,0.363,8.466,0,0.323,0,23.234,0,0,0.045,0
0,2964.975,641.092,126.255,2640.997,0.181,0.127,0.243,3.863,0,0.403,0,15.589,0.001,0,0.03,0,2964.975,641.092,126.255,2640.997,0.229,0.158,0.308,6.115,0,0.222,0,19.773,0,0,0.038,0
0,2966.866,512.99,113.288,2647.301,0.162,0.113,0.218,3.099,0,0.379,0,13.965,0,0,0.027,0,2966.866,512.99,113.288,2647.301,0.217,0.15,0.293,5.505,0,0.2,0,18.757,0,0,0.036,0
0,2965.236,528.308,116.619,2637.626,0.165,0.116,0.221,3.187,0,0.38,0,14.16,0,0,0.027,0,2965.236,528.308,116.619,2637.626,0.224,0.156,0.301,5.829,0,0.208,0,19.304,0,0,0.037,0
0,2964.849,691.203,132.567,2638.911,0.188,0.132,0.252,4.158,0,0.41,0,16.171,0.001,0,0.031,0,2964.849,691.203,132.567,2638.911,0.229,0.159,0.308,6.098,0,0.205,0,19.753,0,0,0.038,0
0,2963.587,945.352,154.52,2633.903,0.219,0.153,0.295,5.701,0,0.46,0,18.92,0.001,0,0.037,0,2963.587,945.352,154.52,2633.903,0.243,0.169,0.327,6.881,0,0.15,0,20.983,0,0,0.04,0
0,2966.529,810.112,142.454,2646.725,0.204,0.143,0.274,4.895,0,0.468,0,17.554,0.001,0,0.034,0,2966.529,810.112,142.454,2646.725,0.241,0.167,0.325,6.77,0,0.218,0,20.805,0,0,0.04,0
0,2966.392,756.479,138.871,2644.63,0.198,0.139,0.264,4.566,0,0.46,0,16.952,0.001,0,0.033,0,2966.392,756.479,138.871,2644.63,0.356,0.249,0.479,15.004,0,0.419,0,30.658,0.004,0,0.06,0
0,2965.93,805.736,141.627,2645.721,0.203,0.143,0.273,4.855,0,0.445,0,17.481,0.001,0,0.034,0,2965.93,805.736,141.627,2645.721,0.546,0.383,0.732,34.618,0,0.822,0,46.883,0.004,0,0.091,0
0,2966.743,749.165,135.429,2649.81,0.196,0.138,0.263,4.513,0,0.436,0,16.852,0.001,0,0.033,0,2966.743,749.165,135.429,2649.81,0.448,0.313,0.602,23.463,0,0.694,0,38.547,0.003,0,0.075,0
