?.40  0
39.60  295.50  0
39.10  295.30  0
39.00  295.40  0
38.20  295.20  0
38.00  295.50  0
37.30  295.60  0
36.90  295.40  0
36.50  295.50  0
36.00  295.50  0
35.70  295.50  0
35.40  295.20  0

31.50  295.70  0
31.20  295.50  0
30.90  295.70  0
30.50  295.50  0
30.30  295.50  0
30.10  295.90  0
29.50  295.40  0
29.20  295.60  0
29.10  295.70  0
28.90  295.40  0
28.10  295.30  0
28.50  295.30  0
31.60  295.40  0
31.70  295.30  0
31.00  315.80  0
30.80  322.00  0
30.70  39.20  0
60.90  292.20  0
62.60  289.60  0
62.60  287.50  0
61.70  285.20  0
60.90  282.70  0
59.00  280.20  0
57.50  277.30  0
55.70  273.30  0
54.80  269.10  0
53.70  265.70  0
52.50  262.40  0
51.60  260.30  0
50.30  258.40  0
48.90  257.10  0
47.60  254.90  0
46.50  252.70  0
45.50  250.00  0
44.30  246.80  0
43.60  243.60  0
42.80  240.50  0
42.60  237.80  0
41.80  235.60  0
40.90  233.60  0
40.50  232.30  0
38.80  230.90  0
38.10  229.20  0
37.30  227.10  0
36.40  223.90  0
35.60  221.30  0
35.20  218.40  0
35.10  216.50  0
34.30  214.80  0
34.00  213.40  0
33.10  211.80  0
32.30  210.60  0
31.50  28.60  0
31.00  26.60  0
30.30  23.50  0
29.80  20.60  0
29.70  197.60  0
29.40  195.60  0
29.20  193.80  0
28.40  192.60  0
28.10  191.40  0
26.90  191.50  0
26.90  190.20  0
25.90  188.20  0

21.20  169.70  0
21.00  168.60  0
21.20  167.10  0
21.10  164.80  0
20.30  164.10  0
19.80  162.90  0
19.50  162.20  0
19.50  161.80  0
19.00  161.20  0
18.90  159.20  0
18.60  158.10  0
17.60  156.10  0
17.80  154.10  0
17.40  153.00  0
17.40  152.10  0
16.60  151.70  0
17.00  150.90  0
17.10  150.40  0
16.50  150.00  0
16.50  147.90  0
15.90  145.60  0
15.70  144.20  0
15.60  142.60  0
15.30  141.30  0
15.30  140.80  0
15.00  141.50  0
15.00  143.90  0
14.70  145.30  0
14.50  143.20  0
14.50  141.40  0
14.20  140.10  0
14.00  137.80  0
14.00  136.10  0
13.40  135.10  0
13.40  136.60  0
12.70  135.90  0
13.10  133.90  0
12.90  133.80  0
12.80  133.00  0
12.50  131.30  0
12.40  128.50  0
12.30  125.90  0
