flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2965.769,11787.424,542.338,2645.574,0.781,0.55,1.045,71.067,0,1.453,0,66.904,0.017,0,0.131,0,2965.769,11787.424,542.338,2645.574,0.611,0.42,0.828,44.329,0,0.518,0,53.014,0.006,0,0.104,0
0,2966.589,10521.975,508.96,2650.086,0.738,0.521,0.987,63.424,0,1.38,0,63.196,0.015,0,0.124,0,2966.589,10521.975,508.96,2650.086,0.406,0.277,0.552,19.786,0,0.582,0,35.359,0.003,0,0.069,0
0,2967.775,9726.297,492.996,2648.844,0.706,0.493,0.949,58.731,0,1.387,0,60.77,0.016,0,0.119,0,2967.775,9726.297,492.996,2648.844,0.316,0.217,0.427,12.008,0,0.729,0,27.386,0.004,0,0.054,0
0,2965.446,10636.509,513.393,2648.149,0.747,0.533,0.992,64.199,0,1.55,0,63.488,0.019,0,0.125,0,2965.446,10636.509,513.393,2648.149,0.261,0.177,0.355,8.462,0,0.806,0,22.734,0.006,0,0.045,0
0,2963.505,12053.336,552.262,2635.824,0.789,0.556,1.055,72.745,0,1.508,0,67.564,0.022,0,0.133,0,2963.505,12053.336,552.262,2635.824,0.252,0.171,0.344,8.182,0,0.972,0,22.05,0.009,0,0.044,0
0,2968.548,9285.21,476.002,2655.737,0.693,0.488,0.927,56.171,0,1.37,0,59.391,0.016,0,0.117,0,2968.548,9285.21,476.002,2655.737,0.241,0.164,0.327,7.163,0,0.732,0,20.984,0.004,0,0.041,0
0,2964.747,8002.047,456.522,2632.5,0.635,0.436,0.861,48.372,0,1.318,0,55.136,0.013,0,0.108,0,2964.747,8002.047,456.522,2632.5,0.227,0.152,0.311,6.683,0,0.862,0,19.95,0.007,0,0.04,0
0,2966.699,8452.056,461.882,2648.16,0.658,0.458,0.886,51.088,0,1.291,0,56.712,0.013,0,0.111,0,2966.699,8452.056,461.882,2648.16,0.298,0.202,0.405,11,0,0.914,0,25.975,0.007,0,0.051,0
0,2964.085,7308.466,427.921,2639.575,0.616,0.438,0.821,44.031,0,1.186,0,52.58,0.013,0,0.103,0,2964.085,7308.466,427.921,2639.575,0.41,0.286,0.551,19.655,0,0.57,0,35.276,0.003,0,0.069,0
0,2964.683,9134.029,481.55,2637.371,0.683,0.476,0.92,55.167,0,1.391,0,58.91,0.014,0,0.116,0,2964.683,9134.029,481.55,2637.371,0.716,0.514,0.947,59.788,0,1.507,0,60.643,0.036,0,0.12,0
0,2966.609,7634.964,432.416,2648.933,0.63,0.447,0.84,45.994,0,1.194,0,53.807,0.011,0,0.105,0,2966.609,7634.964,432.416,2648.933,1.084,0.755,1.459,137.093,0,1.257,0,93.397,0.012,0,0.182,0
0,2963.629,10420.567,518.258,2631.223,0.736,0.524,0.978,62.606,0,1.482,0,62.637,0.02,0,0.123,0,2963.629,10420.567,518.258,2631.223,1.41,0.983,1.898,231.562,0,1.579,0,121.499,0.014,0,0.237,0
0,2966.747,9793.66,488.536,2652.476,0.714,0.506,0.952,59.089,0,1.364,0,60.985,0.015,0,0.12,0,2966.747,9793.66,488.536,2652.476,1.472,1.031,1.976,251.413,0,1.788,0,126.492,0.021,0,0.247,0
0,2965.002,9121.419,483.142,2637.319,0.68,0.47,0.92,55.13,0,1.355,0,58.895,0.014,0,0.116,0,2965.002,9121.419,483.142,2637.319,1.289,0.905,1.728,192.637,0,1.42,0,110.606,0.023,0,0.216,0
0,2964.876,8132.605,456.477,2637.413,0.644,0.448,0.867,49.019,0,1.197,0,55.545,0.012,0,0.109,0,2964.876,8132.605,456.477,2637.413,0.534,0.366,0.723,34.051,0,0.482,0,46.286,0.009,0,0.091,0
0,2965.913,9043.465,475.822,2644.247,0.682,0.479,0.915,54.504,0,1.27,0,58.59,0.013,0,0.115,0,2965.913,9043.465,475.822,2644.247,0.374,0.257,0.508,16.746,0,0.8,0,32.542,0.003,0,0.063,0
0,2968.17,11428.992,534.393,2647.221,0.766,0.537,1.028,68.975,0,1.55,0,65.827,0.019,0,0.129,0,2968.17,11428.992,534.393,2647.221,0.557,0.389,0.748,35.966,0,0.716,0,47.895,0.001,0,0.093,0
0,2961.26,18103.574,692.256,2615.614,0.955,0.662,1.289,109.556,0,2.023,0,82.557,0.047,0,0.163,0,2961.26,18103.574,692.256,2615.614,0.366,0.247,0.501,17.118,0,1.244,0,32.086,0.016,0,0.064,0
0,2960.145,72174.184,1370.497,2615.106,1.934,1.396,2.554,435.871,0,3.263,0,163.482,0.285,0,0.326,0,2960.145,72174.184,1370.497,2615.106,0.332,0.217,0.46,19.915,0,2.734,0,29.453,0.099,0,0.069,0
0,2965.955,91129.832,1510.289,2645.455,2.168,1.522,2.906,549.355,0,3.079,0,186.036,0.134,0,0.366,0,2965.955,91129.832,1510.289,2645.455,0.269,0.171,0.376,15.827,0,2.81,0,24.122,0.105,0,0.062,0
0,2965.978,91042.168,1509.12,2645.656,2.167,1.521,2.905,548.871,0,3.05,0,185.954,0.134,0,0.366,0,2965.978,91042.168,1509.12,2645.656,0.275,0.177,0.384,16.136,0,2.815,0,24.601,0.104,0,0.062,0
0,2972.397,38254.144,971.413,2646.809,1.386,0.953,1.879,234.364,0,3.495,0,120.262,0.13,0,0.239,0,2972.397,38254.144,971.413,2646.809,0.249,0.165,0.342,9.078,0,1.454,0,21.898,0.024,0,0.047,0
0,2965.447,16669.939,642.518,2645.856,0.928,0.651,1.243,100.614,0,1.836,0,79.585,0.025,0,0.156,0,2965.447,16669.939,642.518,2645.856,0.241,0.16,0.331,7.811,0,1.131,0,21.204,0.012,0,0.043,0
0,2964.194,22983.722,758.328,2638.201,1.093,0.777,1.457,138.493,0,2.149,0,93.273,0.039,0,0.183,0,2964.194,22983.722,758.328,2638.201,0.63,0.429,0.857,48.525,0,1.543,0,54.902,0.022,0,0.108,0
0,2966.452,22245.102,748.41,2646.911,1.075,0.759,1.435,134.146,0,2.189,0,91.898,0.034,0,0.18,0,2966.452,22245.102,748.41,2646.911,1.049,0.732,1.409,127.468,0,0.966,0,90.237,0.003,0,0.176,0
0,2966.069,17217.836,658.75,2644.661,0.936,0.648,1.263,103.975,0,1.939,0,80.895,0.026,0,0.159,0,2966.069,17217.836,658.75,2644.661,0.889,0.614,1.201,92.61,0,0.635,0,76.893,0.003,0,0.15,0
0,2965.148,12756.143,570.39,2636.772,0.803,0.553,1.088,77.149,0,1.649,0,69.652,0.021,0,0.137,0,2965.148,12756.143,570.39,2636.772,0.605,0.42,0.816,42.881,0,0.588,0,52.239,0.003,0,0.102,0
0,2967.862,12816.92,569.547,2645.632,0.809,0.563,1.09,77.508,0,1.706,0,69.787,0.022,0,0.137,0,2967.862,12816.92,569.547,2645.632,0.702,0.496,0.936,57.413,0,1.245,0,59.909,0.02,0,0.118,0
0,2966.213,17409.188,649.94,2648.805,0.957,0.689,1.267,104.706,0,1.788,0,81.105,0.03,0,0.159,0,2966.213,17409.188,649.94,2648.805,0.939,0.655,1.261,101.976,0,0.839,0,80.745,0.001,0,0.157,0
0,2968.38,12971.931,563.935,2651.207,0.819,0.578,1.095,78.24,0,1.533,0,70.103,0.022,0,0.138,0,2968.38,12971.931,563.935,2651.207,0.738,0.501,1.007,65.169,0,0.604,0,64.473,0.003,0,0.126,0
